"","y","group"
"1",6,"control"
"2",10,"control"
"3",4,"control"
"4",11,"control"
"5",14,"control"
"6",12.5,"control"
"7",11,"control"
"8",14,"control"
"9",4,"control"
"10",6,"control"
"11",13,"control"
"12",13.5,"control"
"13",10,"control"
"14",11,"control"
"15",10,"control"
"16",14,"control"
"17",8,"control"
"18",13,"control"
"19",13,"control"
"20",10,"control"
"21",15,"control"
"22",7,"control"
"23",8,"control"
"24",17,"control"
"25",7,"control"
"26",17,"control"
"27",8,"control"
"28",12,"control"
"29",3,"control"
"30",11,"control"
"31",11,"control"
"32",14,"control"
"33",12.5,"control"
"34",12,"control"
"35",12.5,"control"
"36",12,"control"
"37",6,"control"
"38",8,"control"
"39",6,"control"
"40",16,"control"
"41",12,"control"
"42",8.5,"control"
"43",14,"control"
"44",9,"control"
"45",4,"control"
"46",12,"control"
"47",14,"control"
"48",13,"control"
"49",11,"control"
"50",10,"control"
"51",9,"control"
"52",7,"control"
"53",13,"control"
"54",4,"control"
"55",14,"control"
"56",13,"control"
"57",5,"control"
"58",10,"control"
"59",5,"control"
"60",11,"control"
"61",6,"control"
"62",11,"control"
"63",6,"control"
"64",4,"control"
"65",18,"control"
"66",14,"control"
"67",12,"control"
"68",14,"control"
"69",3,"control"
"70",9,"control"
"71",8,"control"
"72",4,"1"
"73",10,"1"
"74",13,"1"
"75",11,"1"
"76",7,"1"
"77",13,"1"
"78",8.5,"1"
"79",7,"1"
"80",11,"1"
"81",12,"1"
"82",11.5,"1"
"83",12,"1"
"84",16,"1"
"85",5,"1"
"86",7,"1"
"87",11,"1"
"88",17,"1"
"89",13,"1"
"90",11,"1"
"91",13,"1"
"92",18,"1"
"93",11,"1"
"94",16,"1"
"95",9,"1"
"96",13,"1"
"97",5,"1"
"98",11,"1"
"99",17,"1"
"100",12,"1"
"101",13,"1"
"102",13,"1"
"103",11,"1"
"104",15,"1"
"105",14,"1"
"106",15,"1"
"107",11,"1"
"108",11,"1"
"109",4,"1"
"110",16,"1"
"111",14,"1"
"112",20,"1"
"113",4,"1"
"114",12,"1"
"115",11,"1"
"116",2,"1"
